Graph,V(G),E(G),D(%),F/GA,F/BRKGA,F/PLI,OPT,T/GA,T/BRKGA,T/PLI,MIN/GA,MIN/BRKGA,STD/GA,STD/BRKGA,GAP(%)
sherman1,1000,1375,0.28%,665,661,631,0,128.625,10.583,900.0,656,657,4.1,3.38,4.75
bcsstk10,1086,10492,1.78%,116,136,104,1,99.948,11.788,0.0,110,115,3.22,12.24,11.54
bcsstk04,132,1758,20.33%,42,58,40,1,0.717,0.063,504.0,40,58,4.39,0.0,5.0
can__161,161,608,4.72%,43,42,41,1,1.006,0.151,0.0,41,41,4.58,3.5,2.44
dwt__869,869,3208,0.85%,265,265,223,0,51.124,7.339,900.0,249,249,8.45,8.13,18.83
bcsstk05,153,1135,9.76%,39,38,38,1,1.658,0.118,125.0,38,38,1.72,0.25,0.0
can___96,96,336,7.37%,26,26,26,1,0.322,0.035,0.0,26,26,0.0,0.92,0.0
bcsstm07,420,3416,3.88%,134,134,116,0,18.094,0.997,900.0,125,132,5.36,2.24,15.52
lund_b,147,1147,10.69%,28,26,26,1,1.039,0.102,1.0,26,26,2.38,1.35,0.0
lshp_577,577,1656,1.00%,225,226,193,0,21.808,2.338,900.0,218,214,4.87,6.0,16.58
dwt__878,878,3285,0.85%,257,268,203,1,52.505,6.213,0.0,224,255,12.83,7.44,26.6
dwt__503,503,2762,2.19%,129,142,117,1,15.292,1.852,763.0,121,130,4.38,6.77,10.26
lund_a,147,1151,10.73%,29,26,26,1,1.26,0.092,0.0,26,26,2.97,1.07,0.0
dwt__310,310,1069,2.23%,98,99,88,1,9.227,0.562,2.0,92,92,3.48,3.9,11.36
