Graph,V(G),E(G),D(%),Fitness,Time(s),Optimal
san400_0.5_1,400,39900,50.00%,74,900.000,0
san400_0.7_3,400,55860,70.00%,94,153.000,1
san400_0.7_1,400,55860,70.00%,100,161.000,1
C4000.5,4000,4000268,50.02%,4000,900.000,0
anna,138,493,5.22%,50,0.000,1
DSJC250.1,250,3218,10.34%,118,900.000,0
queen12_12,144,2596,25.21%,44,900.000,0
p_hat700-3,700,183010,74.80%,74,900.000,0
c-fat500-1,500,4459,3.57%,60,36.000,1
david,87,406,10.85%,6,0.000,1
p_hat700-2,700,121728,49.76%,162,900.000,0
flat300_20_0,300,21375,47.66%,119,900.000,0
le450_15c,450,16680,16.51%,233,900.000,0
hamming10-2,1024,518656,99.02%,12,900.000,0
huck,74,301,11.14%,21,0.000,1
miles250,125,387,4.99%,45,0.000,1
johnson8-4-4,70,1855,76.81%,18,0.000,1
hamming6-2,64,1824,90.48%,8,0.000,1
DSJC125.9,125,6961,89.82%,6,10.000,1
brock200_2,200,9876,49.63%,76,900.000,0
brock200_3,200,12048,60.54%,67,282.000,1
c-fat500-5,500,23191,18.59%,41,379.000,1
DSJC250.5,250,15668,50.34%,95,900.000,0
flat1000_60_0,1000,245830,49.22%,466,900.000,0
le450_15d,450,16750,16.58%,216,900.000,0
C1000.9,1000,450079,90.11%,76,900.000,0
flat300_26_0,300,21633,48.23%,123,900.000,0
queen10_10,100,1470,29.70%,32,900.000,0
gen400_p0.9_55,400,71820,90.00%,26,73.000,1
hamming10-4,1024,434176,82.89%,177,900.000,0
