Name;Result;timeInSeconds
1138_bus;647;3.68891
494_bus;293;0.268642
662_bus;358;2.87932
1138_bus;647;4.98199
494_bus;293;0.328372
662_bus;358;3.83357
685_bus;331;742.343
add20;1134;113.841
arc130;7;0.0248251
ash292;99;304.114
ash85;33;0.268408
bcspwr01;23;0.016654
bcspwr02;28;0.0270951
bcspwr03;63;0.0931242
bcspwr04;131;7.92719
bcspwr05;252;0.681647
bcspwr06;802;10.2282
bcspwr07;892;12.4873
bcspwr08;892;41.3732
bcspwr09;939;65.0285
